epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2455,0.848,1.07334,1.15437,0.18818,0.36044,0.14014,0.06888,1.86117,3.54791,2.15337,0.000412809,0.000412809,0.000412809
2,125.273,0.91485,0.80962,1.19051,0.69959,0.88759,0.8787,0.6221,1.02895,1.48651,1.36673,0.000821264,0.000821264,0.000821264
3,179.504,0.91596,0.78495,1.20085,0.73696,0.64115,0.62007,0.42519,1.16731,3.20899,1.52079,0.00122147,0.00122147,0.00122147
4,233.199,0.91234,0.75437,1.19072,0.79392,0.85851,0.84671,0.63739,0.89599,0.92028,1.21642,0.00121287,0.00121287,0.00121287
5,287.239,0.88631,0.70531,1.17154,0.88939,0.94509,0.94697,0.71809,0.88396,0.6529,1.18155,0.0012005,0.0012005,0.0012005
6,341.089,0.86007,0.67004,1.15989,0.8565,0.87408,0.90041,0.67081,0.91786,0.87758,1.21955,0.00118812,0.00118812,0.00118812
7,394.631,0.83809,0.61705,1.13429,0.85886,0.87606,0.92248,0.71573,0.84503,0.62903,1.15163,0.00117575,0.00117575,0.00117575
8,448.225,0.81387,0.58325,1.12583,0.82601,0.87121,0.92139,0.69912,0.91833,0.70802,1.19998,0.00116337,0.00116337,0.00116337
9,501.848,0.80409,0.57609,1.12276,0.91588,0.95751,0.96387,0.76189,0.80745,0.49939,1.11057,0.001151,0.001151,0.001151
10,555.713,0.79938,0.56765,1.10918,0.90827,0.9349,0.95644,0.75175,0.8178,0.53619,1.12759,0.00113863,0.00113863,0.00113863
11,609.125,0.79915,0.5621,1.11545,0.85289,0.87176,0.88579,0.70155,0.82242,0.74007,1.1194,0.00112625,0.00112625,0.00112625
12,662.889,0.78553,0.52963,1.10032,0.9015,0.9641,0.96408,0.7501,0.8493,0.49879,1.13058,0.00111388,0.00111388,0.00111388
13,716.38,0.77456,0.52529,1.09503,0.91614,0.97268,0.96931,0.76333,0.84563,0.44121,1.12276,0.0011015,0.0011015,0.0011015
14,770.225,0.77329,0.52572,1.09269,0.92223,0.96718,0.9694,0.75396,0.85186,0.45312,1.12032,0.00108913,0.00108913,0.00108913
15,823.635,0.77347,0.52065,1.1008,0.92688,0.96439,0.97367,0.78204,0.79259,0.4322,1.1005,0.00107675,0.00107675,0.00107675
16,877.566,0.77082,0.51019,1.09959,0.92096,0.9748,0.97636,0.75879,0.87944,0.45519,1.12994,0.00106437,0.00106437,0.00106437
17,931.148,0.76609,0.51388,1.0942,0.92405,0.98499,0.97525,0.77683,0.80721,0.42744,1.10429,0.001052,0.001052,0.001052
